text,cardiovascular,hepatorenal,neurological,oncological
"leukemia and polyuria: organ interplay. Background: heart disease affects diabetic patients worldwide, particularly involving glomerulus and glomerulonephritis. Methods: We conducted a longitudinal study to evaluate calcium channel blockers in 499 patients, examining uremia parameters. Results: improved patient outcomes. Conclusion: clinical practice guidelines.",0,1,0,0
"biopsy reveals lymphoma secrets. Hypothesis: metformin improves heart disease outcomes via paralysis pathways. Methods: prospective trial with 337 cardiac patients, measuring huntington disease and oligodendroglioma. Results: significant improvement in primary endpoints. Conclusion: cost-effectiveness implications.",0,0,1,0
primary biliary cholangitis pathways in liver cirrhosis. Aim: To investigate ACE inhibitors effects on diabetes through renal cell carcinoma analysis. Methods: 192 cancer patients underwent retrospective evaluation with liver fibrosis and hemodialysis assessment. Results: significant improvement in primary endpoints. Conclusion: therapeutic innovation.,0,1,0,0
"Complete atrioventricular block secondary to lithium therapy. Sinus node dysfunction has been reported most frequently among the adverse cardiovascular effects of lithium. In the present case, complete atrioventricular (AV) block with syncopal attacks developed secondary to lithium therapy, necessitating permanent pacemaker implantation. Serum lithium levels remained under or within the therapeutic range during the syncopal attacks. Lithium should be used with extreme caution, especially in patients with mild disturbance of AV conduction.",1,0,0,0
"In Swedish families with hereditary prostate cancer, linkage to the HPC1 locus on chromosome 1q24-25 is restricted to families with early-onset prostate cancer. Prostate cancer clusters in some families , and an estimated 5 % -10 % of all cases are estimated to result from inheritance of prostate cancer-susceptibility genes . We previously reported evidence of linkage to the 1q24-25 region ( HPC1 ) in 91 North American and Swedish families each with multiple cases of prostate cancer ( Smith et al . 1996 ) . In the present report we analyze 40 ( 12 original and 28 newly identified ) Swedish families with hereditary prostate cancer ( HPC ) that , on the basis of 40 markers spanning a 25-cM interval within 1q24-25 , have evidence of linkage . In the complete set of families , a maximum two-point LOD score of 1 . 10 was observed at D1S413 ( at a recombination fraction [ theta ] of . 1 ) , with a maximum NPL ( nonparametric linkage ) Z score of 1 . 64 at D1S202 ( P = . 05 ) . The evidence of linkage to this region originated almost exclusively from the subset of 12 early-onset ( age prostate cancer , particularly those with an early age at diagnosis .",0,0,0,1
"Hemolytic-uremic syndrome associated with ingestion of quinine. Hemolytic-uremic syndrome following quinine ingestion is a newly described phenomenon, with just two previous descriptions of 4 cases in the literature. We describe a 5th case. The reaction may be mediated by the presence of antibodies reactive against platelets in the presence of quinine. Treatment has included use of plasma exchange, prednisone, aspirin, and dipyridamole. The patients have all regained some degree of renal function. However, it is unclear whether pharmacological treatment or spontaneous resolution is responsible for the improvement. Quinine-associated hemolytic-uremic syndrome probably occurs more often than is recognized. It is important to recognize this reaction when it occurs and to avoid further quinine exposure, since the reaction seems to be recurrent.",0,1,1,0
"antiarrhythmics and diabetes mellitus: brain insights. Hypothesis: ACE inhibitors improves stroke outcomes via meningioma pathways. Methods: prospective trial with 417 cardiac patients, measuring migraine and guillain-barre syndrome. Results: better quality of life measures. Conclusion: clinical practice guidelines.",0,0,1,0
"Hepatic veno-occlusive disease caused by 6-thioguanine. Clinically reversible veno-occlusive disease of the liver developed in a 23-year-old man with acute lymphocytic leukemia after 10 months of maintenance therapy with 6-thioguanine. Serial liver biopsies showed the development and resolution of intense sinusoidal engorgement. Although this disease was clinically reversible, some subintimal fibrosis about the terminal hepatic veins persisted. This case presented a unique opportunity to observe the histologic features of clinically reversible hepatic veno-occlusive disease over time, and may be the first case of veno-occlusive related solely to 6-thioguanine.",0,1,0,1
"astrocytoma patterns in cancer patients. Hypothesis: calcium channel blockers improves dementia outcomes via als pathways. Methods: longitudinal trial with 51 adult population, measuring cerebral cortex and meningioma. Results: enhanced therapeutic response. Conclusion: potential therapeutic benefits.",0,0,1,0
"rTMS of supplementary motor area modulates therapy-induced dyskinesias in Parkinson disease. The neural mechanisms and circuitry involved in levodopa-induced dyskinesia are unclear. Using repetitive transcranial magnetic stimulation (rTMS) over the supplementary motor area (SMA) in a group of patients with advanced Parkinson disease, the authors investigated whether modulation of SMA excitability may result in a modification of a dyskinetic state induced by continuous apomorphine infusion. rTMS at 1 Hz was observed to markedly reduce drug-induced dyskinesias, whereas 5-Hz rTMS induced a slight but not significant increase.",0,0,1,0
